Years & Months,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31,,,,,,
2002-08,10.2,16.7,13.1,0.8,0,0,0,2.7,0,0,0,0,0.7,0,0,0.7,6.2,0,1.2,13.9,73.5,22.9,4.4,2.1,0,0.1,0,0,0,0.1,4.6,,,,,,
2002-09,0.4,0,0,0,0,0,0,0,0,0,6.3,2.3,0,0,0,0.1,0,0,0,0,1.1,0.2,18.8,51.7,2.8,0,1.2,0,0.2,0,,,,,,,
2002-10,2.8,0,0.5,4.8,21.3,0,0,50.8,24,0.7,0,0,0.6,43.6,0.6,4.8,0,0.6,3.3,29.3,14.5,2.7,0,0,0,0,0,6,5.1,15,48.4,,,,,,
2002-11,24.6,2,2.8,17.6,0,0,1.1,0.8,15.5,0.2,0,0,0,0,0,0,6.2,7.5,22,19.3,54.6,2,0,0.9,8.3,1.9,1.3,0,0,0,,,,,,,
2002-12,0,0,0,0,0,0,0,0,6.8,3.4,0.4,0,4.3,12.3,0,0.2,4.8,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2003-01,0,0,0,0,0,3.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,8.8,0,0,0,0,0,0,0,0,0,,,,,,
2003-02,0,0,0,0,0,0,0,0,0,0,0,37.7,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,,,,,,,,,
2003-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,15.8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2003-04,0,0,3.5,25.4,5.9,0,0,0,0,0,8.7,0,0,0,0,0.7,0,0,0,1.4,33,31.6,0,3,0,0,0,30.9,23.4,24.5,,,,,,,
2003-05,0.1,4.1,0,0,0,0,1.8,1,0,0,0,0,0,1.6,9.4,20,1.3,0,0,0,1.3,12.8,0,0,0,0,0,0,29.9,4.6,0,,,,,,
2003-06,3,18.1,0,8.2,21,4.2,2.9,13.4,0.9,5.7,7.4,72.9,3.6,13.8,0.4,20.9,26.9,35,6.9,29.8,17,4.8,76.8,30.9,6.6,0,0,4.6,0,2.4,,,,,,,
2003-07,9.7,4.1,4.7,5.2,7.9,7.2,0,0,0,0.5,6.2,15.4,30.2,4.2,60,6.4,10.9,0.6,0,1.4,0,0,9.4,8.6,2.6,2.7,3.1,41,0,1.8,0.1,,,,,,
2003-08,0,1.1,9.7,2.3,8.4,0,0,0,0,0,1.3,1.1,0,0,0.1,0,0,0,0,0,0,0,1.2,1.6,0.1,1.2,0,0,0,1.3,1.3,,,,,,
2003-09,10.6,7.4,0.6,5.2,0,0.4,0,1,0,0,0,0,0,3.3,20.1,1.4,4.1,0,4.6,1,0,0.6,0,9.6,3.1,6.8,2.6,30.7,10.5,10.6,,,,,,,
2003-10,77,0,5.7,0.2,0,0,0,0,0,0,0,0,0.3,0.3,0,1.2,0.5,0,2.3,0,0,8.6,44.3,5.3,0,0,0,0,0,17.4,13.6,,,,,,
2003-11,20.6,6,3.1,62.3,2.7,3.9,9.8,3.8,37,0,0,0,0,5.8,22.1,66,9.8,6.9,9.4,0,0,0,5.6,0,0,0,7.4,0,24.1,4.2,,,,,,,
2003-12,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2004-01,0,0,0,0,0,1.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,TR,0,0,0,0,TR,0,0,,,,,,
2004-02,0,0,TR,0,0,0,0,0,TR,26.7,0,0,23.8,24.6,0,0,0,0,0,0,TR,0,0,0,0,0,0,0,0,,,,,,,,
2004-03,0,0,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TR,TR,0,0,0,TR,TR,9.8,TR,,,,,,
2004-04,10.1,15.6,0,0,TR,0.9,8.4,13.2,0,0,0,7.1,TR,0,0,TR,28.9,0,TR,0,0,0,0,TR,0,0,0.8,0,0.1,0,,,,,,,
2004-05,23.1,79.9,50.4,21,0,0,25.1,23.1,8.7,TR,5.4,12.2,1.5,TR,0,0.9,5.6,0,34.9,8.4,16.8,0,0.8,0,1.2,0.1,TR,0,TR,14.7,1.7,,,,,,
2004-06,0.7,18.4,2.4,0.9,3.3,6.2,4.2,21.6,2.2,0,TR,TR,0.7,4.3,6.5,6.4,0.9,0,0,TR,0,TR,TR,TR,0,TR,0.3,1.6,10.3,22.1,,,,,,,
2004-07,37.9,1.2,12.8,27.3,12.2,14.7,4.2,8.5,TR,0.2,0,0,0.1,0,4,27.7,35.1,70.4,17.8,18.4,5.5,7.2,TR,0.7,4,35.8,3.7,31.6,27.7,0,TR,,,,,,
2004-08,0,0,TR,9.4,13.7,30.3,0,0,0,0,0,0,32.6,17.8,27.6,0,4.6,34.2,5.3,0.5,1.1,4.7,7.5,TR,8.6,9.8,1.8,1.8,TR,0,TR,,,,,,
2004-09,TR,TR,0,TR,1.9,TR,1.8,12.8,TR,1.3,16.6,0.7,4.6,5.6,1,10.4,26,7.1,12,0.4,1.2,14.8,10,10,62.6,16.2,23.4,4,0,0,,,,,,,
2004-10,0,12.4,8.4,15.5,1.4,74.5,13.2,0.9,TR,29.3,TR,0,0,0,0,0,TR,0,1.1,8.4,14.3,0.3,14.1,66,0,TR,55.7,10.7,29.8,111.7,15.8,,,,,,
2004-11,2.2,0,0,0,0.9,0,0,0,15.9,8.2,4.1,17,28,26.1,16.2,TR,17.4,0,0,0.9,0,15.4,0.2,40.2,10.7,0,0,0.4,TR,0,,,,,,,
2004-12,0,0,TR,0,TR,2.3,0,0,TR,1.3,0,0,0,0,TR,4.9,0,0,0,0,0,0,0,TR,5.1,0.1,0,10.1,10.7,0.3,0,,,,,,
2005-01,0.7,0,16.4,13.9,0,0.5,0,0,1,0.3,0,0,0,0,0,0,0.8,0,0,0.3,48.4,0,0,0,0,TR,1.1,2.7,0,0,0,,,,,,
2005-02,0,0,0,0,0,0,0,0,0,TR,0,0,0,0,0,0,0,0,0,0,0,11.8,0,0,0,0,0,0,,,,,,,,,
2005-03,0,0,0,0,0,TR,3.3,0,0,0,0,0,0,0,0,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2005-04,0,0,TR,TR,TR,TR,0,0,0,1.4,TR,0,0,0,0,0,0,0,TR,4,10.8,0,0,0,0,TR,0,0,0,0,,,,,,,
2005-05,0,0,0,0,0,0.2,0,0,0.6,0,0,0,0,0,0.7,0,17.9,0,0.9,TR,0.6,0,TR,17.5,0.3,TR,4.1,49.8,62.9,0.3,TR,,,,,,
2005-06,6.5,5.6,7.5,28.2,30.2,5.9,1.4,TR,TR,0.9,2,9.5,1,TR,15.7,11.9,11.8,11.2,0.2,1.7,0.9,0.9,0.4,0,0,0,3.2,0,0,0,,,,,,,
2005-07,23.6,0,0,TR,0,3.4,TR,0,1.7,48,16.7,41.4,20.6,52.1,38.1,2.1,TR,0.4,TR,0,TR,0,TR,4.3,TR,TR,0.2,TR,10.5,0.3,5.5,,,,,,
2005-08,6.8,0.8,0,0,0,TR,0,0,0,0,0,0,0.8,59.9,1.1,2,0.6,0,TR,TR,TR,0,0.8,0,2.8,TR,TR,21.1,5.7,TR,16.7,,,,,,
2005-09,3,2.9,14,13.1,0,4,10.6,1.6,37.1,43.2,18.8,2.9,TR,TR,0,0,0,0,0,16.3,11.8,TR,0,0.4,0,0,0,TR,0,0,,,,,,,
2005-10,0,0,0,TR,0,1.3,0,0,0.1,3.5,43.5,25.2,13.7,TR,0.2,2.4,2.6,8.1,19,48.6,13.4,18.2,21.7,TR,1,TR,0,5.9,0,0.3,0,,,,,,
2005-11,2.9,0,0,0,0,0,13,1.4,TR,0.2,2.1,5.2,1.3,14.3,2.3,0,0,1.9,0,0,0,0,7,1.6,TR,TR,0,8,5.3,TR,,,,,,,
2005-12,0,1.4,0,39.3,11.8,0.2,0,0,0,0,TR,21.3,3.2,1.1,7.8,0,0,0,0,0,0,0,0,0,0,TR,TR,0.7,9.4,TR,0,,,,,,
2006-01,0,0,0,0,0,1.4,TR,1.3,1.3,12.7,0,0,58.2,37.5,TR,0,0,0,0,0,0,0,0,0,TR,0.2,0,0,TR,0,0,,,,,,
2006-02,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4,0,0,0,,,,,,,,,
2006-03,0,0,1,2.1,0,0,0,TR,35.3,0,0,0,0,0,0,0,0,0,0.2,0.6,TR,0,0,0,0,9.7,0,0,0,0,0,,,,,,
2006-04,0,0,0,0,0,0,0,0,TR,TR,0,0,0,0,0,0,0,4.1,0,0,0,TR,0,0,TR,0,0,0,0,0,,,,,,,
2006-05,0,0,0,0,TR,TR,25.4,12.5,37.8,0,0,0,0.4,TR,0,0,TR,12.2,0,0.5,14.4,6.5,29.6,4.3,2.6,45.2,15.3,29.7,9.4,7.9,33.5,,,,,,
2006-06,0,TR,1.2,TR,0.6,10.8,0,TR,TR,0,0,0,0,0,0.4,26.5,0.8,14.5,42.7,57.8,6.9,38.3,19.1,0.7,TR,0.3,0,36.6,0,0.5,,,,,,,
2006-07,0,4.1,17.7,4.6,8.7,2.6,TR,0,5.1,0.5,4.4,14.6,5.4,1.2,4.9,TR,0,0,0,0,0,0,2.2,0,0,0,0,TR,1.4,0,0,,,,,,
2006-08,0,TR,0,0,0,0,0,TR,TR,TR,27.9,6.6,1.4,6.9,33.6,30.6,1.7,14.6,TR,0,0,2,52.9,0,0,0,0,0,0,0,13.6,,,,,,
2006-09,6.7,0.8,1.4,14.9,34.3,20.2,7.9,70.5,25.7,9.6,10.9,5.4,0,0,1.8,TR,TR,1.3,31.9,0.6,3.3,0,0,42.7,6.7,0,4.4,2.3,0,0,,,,,,,
2006-10,0,0,0,0.1,0,0,0,0,0,TR,0,0.3,69.8,10.7,0,0,1.7,0,1.2,TR,1,3.6,6,44.2,32.6,0.2,1.4,22.1,TR,4.1,TR,,,,,,
2006-11,1.4,0,19.2,22.9,5.4,19.8,18,12.1,0,30.8,TR,4.8,0,0,TR,6.6,2,1,0,7.9,0.6,TR,0.6,5.8,0,15.4,8.8,7,0,0,,,,,,,
2006-12,0,0,0,8,TR,0.5,0,0,0,0,0,21.1,7.4,0,0,0,8.1,1.1,0,TR,TR,0.4,0,11.4,0,0,1.6,0,0,0,0,,,,,,
2007-01,0,0,TR,0,0,0,0,0,TR,TR,1.9,TR,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TR,TR,0,0,,,,,,
2007-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TR,TR,TR,0,0,0,0,0,0,0,,,,,,,,,
2007-03,TR,0,0,TR,0,0,0,0,0,0,0,TR,1.4,6.4,0,0,9.8,TR,0,0,0,0,0,0,0,0,0,0,0,0,6.3,,,,,,
2007-04,0,0,0,0,20.6,22.4,34.1,0,0,13.9,TR,0,0,0,0,8.3,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,,,,,,,
2007-05,0,24.9,1.4,40.4,TR,4.1,16.2,6.2,9.5,3.2,TR,0,0,0,0,1.4,4.9,TR,2.4,3.3,TR,0,1.2,0,0,3.9,49.7,35.3,16.4,10.1,13.1,,,,,,
2007-06,9.3,0.9,TR,2.3,TR,13.9,26.7,8.2,4.5,1.2,3,8.2,0.2,TR,46.2,34.8,8.9,11.4,6.3,63.1,74.5,5.2,18.9,TR,0.8,0,0,0,4.3,0.4,,,,,,,
2007-07,TR,5.2,0.5,0.7,0,TR,0.9,1.2,2.3,6.2,3.1,5.2,1.9,0,1.2,0.9,29.2,6,66.6,12.4,20.7,22.7,95.4,22.5,12.7,0.1,6.6,TR,0,0,0,,,,,,
2007-08,0,1.4,0,0,0,0,0.5,1.8,15.4,6.9,TR,TR,TR,0,0,0,16.1,TR,0,3.7,13.9,0,2.4,4.2,28.3,15.4,0,0,0.3,12.5,0.4,,,,,,
2007-09,34.6,21.8,25,35.4,TR,8.7,23.3,5.3,TR,1.4,0,18.6,0.3,TR,0,TR,TR,TR,1.4,0.7,8.9,40.2,23.9,0,TR,0,4.1,0,0,0,,,,,,,
2007-10,2.1,TR,TR,13.3,2.4,0.7,30.9,0,0,0,0,0,0,0,TR,2.4,0,TR,1.2,TR,3,13.5,22.4,26.5,23.7,8.5,2.7,7.8,8.1,10,8.4,,,,,,
2007-11,0,TR,0,0,0,0,1.1,TR,0.3,1.8,0,0,12,0,0,0,0,0,0,TR,1,34.8,6.4,0,0,0,0,0,TR,4.1,,,,,,,
2007-12,0.5,TR,40.5,1.2,0,0,0,TR,0,0,0,2,0,0,TR,0,0,1.2,0,13.4,101.6,3.4,8.1,0,0,0,0,0,0,0,0,,,,,,
2008-01,0,0,0,0,3.4,2.5,0,0,0,0.4,0,0,1.9,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,,,,,,
2008-02,0,0,0,0,TR,0,3.4,13.1,1.3,TR,27.4,11.3,TR,TR,TR,0,0,6.8,43.4,0,1.3,0,0,0,0,0,8.5,27.6,1.6,,,,,,,,
2008-03,1.7,10.8,TR,TR,TR,0,4.1,0,TR,1.6,0,0,0.5,55.2,5.8,8.5,4.7,10.9,46.3,17.4,1,0,0.8,0,0,0,0,0,0,0,0,,,,,,
2008-04,0,0,16.8,19,TR,12.1,0,TR,0,0,21.9,0,0,0,0,TR,0,TR,0,0,0,0,0,0,0,26.2,13.3,TR,TR,TR,,,,,,,
2008-05,0,18.8,5.7,21.1,TR,0,0,TR,0,0,TR,2.9,0,TR,0,0,0,TR,0.2,0,1,14.7,4.2,TR,0.2,146.9,0.6,0.2,9.2,3.3,10.6,,,,,,
2008-06,2,8.5,11,TR,0,0,0,5.7,0.6,TR,0.7,1.8,1,TR,0,TR,6.2,0,4.1,1.1,30,11.6,16.3,9.3,0,0,18.3,5.2,10.1,17.6,,,,,,,
2008-07,9.2,1.3,0,0,TR,9.9,0,0.8,1.2,2,3.3,0.8,9.1,136,100.3,9.1,14.9,6.7,2.4,6.1,26.5,21,2.4,0.8,2.1,3.3,TR,TR,0,0,19.9,,,,,,
2008-08,0,0,0,0,0,0,0,0.4,TR,0,4.3,38.1,21.5,3.2,2,0,TR,0,TR,7.4,TR,3.2,TR,3.7,0,3.8,2.1,16.3,16,22.1,8.1,,,,,,
2008-09,0,1.1,1.6,TR,1.3,1.1,TR,TR,TR,10.2,5.1,0.7,0,0,TR,0,0,0,0,0,0,4.8,0,TR,2.4,0,0,0,0.6,0,,,,,,,
2008-10,0,0,0,0,0,0,0,0,0,0,TR,11.2,5.3,21.5,18.6,TR,20.3,0.8,2.9,36.8,44.2,16.3,7.1,43.2,53.7,21,0,TR,TR,0,0,,,,,,
2008-11,0,0,0,0,0,0,0,26.1,0,0,0.5,0,TR,0,0,2.2,0,0.8,15.7,7.5,14.3,4.7,4.4,4.7,1.2,0,0,TR,0,0,,,,,,,
2008-12,0,1,TR,0,0,0,0,4.3,9.3,1.3,0,6.6,TR,2.2,10.5,0.6,0,23.7,78,4.9,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2009-01,0,0,0,0,0,0,0,0.6,0,0,1.1,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,TR,0,TR,TR,0,0,,,,,,
2009-02,0,0,0,0,0,7.6,0,TR,0,0,0,0,0,0,0,0,0,0,0,TR,TR,0,TR,0,0,0,0,0,,,,,,,,,
2009-03,0,0,0,0,0,0,0,0,0,0,2.4,5.7,2.7,5.8,TR,0,0,0,0,0,0,0,0,0,6,0,0,5.7,0,0,3.2,,,,,,
2009-04,0,TR,0,0,2.7,1.2,4.8,0,9.7,24.4,TR,0,TR,TR,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,,,,,,,
2009-05,0,0,2.2,0,0,TR,TR,0,29.6,0,TR,0,0,0,1.2,0,0,1.6,4.2,0.5,6.3,8.6,22,44.9,4.6,18.7,1,TR,0,TR,0,,,,,,
2009-06,0.7,TR,1,1.9,0,TR,0.8,TR,TR,0.9,TR,1.2,1.9,TR,7.4,1.5,44.9,20.5,37.4,TR,8.1,3.3,5.3,TR,TR,4.9,TR,3.9,0.5,10.5,,,,,,,
2009-07,58.1,22.6,12.5,3.6,33,23.9,2.6,2.6,5.7,TR,0,TR,8.1,1.6,TR,7.5,20.1,6.1,TR,1.1,4.2,2.8,0.5,TR,TR,TR,0,0,0,2.1,TR,,,,,,
2009-08,0,TR,TR,TR,2.8,TR,7.7,TR,1.1,2.3,TR,4.4,21.5,21.4,6.3,17.8,26.7,20.4,19.7,14.5,27,0,0,1.2,1.6,12.9,24.2,1.3,0,TR,0,,,,,,
2009-09,TR,4.3,5.6,0,TR,3.3,17.8,5,12.1,TR,17.8,1.1,TR,1.1,0,TR,1.1,0,0,0,2.4,2.3,TR,0,0,TR,9.5,79.5,8.5,5.9,,,,,,,
2009-10,9.6,TR,TR,0,0,0,0,0,0,0,0,0,0,0,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,32.9,38.3,,,,,,
2009-11,TR,0.9,TR,1.8,69.1,3.8,11.4,47.3,TR,0,0,0,0,0,0,0,0,0,0,0,10.9,33.6,11.9,0.4,0.9,42.4,0,0,0,0,,,,,Highest records in a year ,,
2009-12,0,TR,TR,0,0,TR,0,0,4.2,0,0,0,0,0,0,0,23.7,2.8,TR,TR,12.4,37.5,TR,73,9,0,7.8,0,1.1,115.4,TR,,,,,,
2010-01,0,0,0,0,0,0,0,0,0,TR,TR,0,0,0.5,0,0,0,0,0,0,0.5,7,0,0,0,0,0,0,TR,0,0,,,,111.4,2010,11-Jun
2010-02,4.8,TR,TR,0,0,0,0,0,0,0,TR,0,TR,0,0,0,0,0.5,0,0,0,0,1.6,0,0,0,0,TR,,,,,,,70.8,2011,29-May
2010-03,0,0,TR,0,0,0,0,0,0,0,0,TR,0,0,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,,,,144.6,2012,30-Oct
2010-04,0,0,0,0,5.2,6.9,5.3,1.4,0.8,14.1,0,0,0,0,0,35.6,TR,0,0,0,TR,TR,4.5,2,0,3.7,22.2,0,0,6,,,,,110.2,2013,19-Oct
2010-05,0,0,0,4.3,0,TR,0,0,31.1,TR,0.5,TR,0,16.9,TR,35.6,2.9,1.8,1.1,16.1,18.6,1.4,7.3,1.2,1.9,1,0,0.8,41.8,17.4,TR,,,,,,
2010-06,0,TR,9.7,0,2.3,2.5,35.1,22.4,12.6,49.1,111.4,42.2,1.1,0,0,0,1,0,0,0.7,TR,6.3,4,24.2,5.6,0.7,24.8,43.2,88.8,24,,,,,,,
2010-07,2.3,10.4,13.3,27.5,22.6,TR,38.3,7.9,0,TR,13.1,79.6,1.2,1,35.9,0.7,0.4,TR,1.5,0,0,26.3,33.7,TR,12.5,7.6,2.9,18.6,20.6,0.5,TR,,,,,,
2010-08,0,1.4,0,0.5,1.2,TR,3.6,9.8,1.4,TR,0,17.8,5.4,72.6,8.1,13.3,3.5,0,0,0,TR,TR,0,TR,30,16.9,11.2,2.8,1.9,3.9,0,,,,,,
2010-09,0,0,0,TR,TR,TR,26.1,0.8,28.3,TR,0.5,0,0,2.1,2.8,TR,30,8.9,42.6,6.8,31.7,1.2,7.7,1,10.5,8.3,12.6,8.2,4.3,0.5,,,,,,,
2010-10,25,19,4.2,TR,1.7,24.7,6.2,43.2,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,0,0,0,0,TR,29.2,0,,,,,,
2010-11,0,0,0,3.4,42.1,0,0,TR,4.9,61.6,6.9,0,0,5.8,0,0,13.3,0.8,0,1.7,3.6,TR,0,TR,29.3,1,10.4,0,5.4,3.9,,,,,,,
2010-12,51.8,2.9,1.1,15.1,9.8,TR,0.5,TR,1.1,0.3,0.6,0,0,0,0,0,0,0,3.7,0,TR,0,0.5,6.6,0.5,0,0,0,3.7,15.2,48.5,,,,,,
2011-01,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,5,2.8,0,0,0,,,,,,
2011-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,2.3,3,0,0.5,0,,,,,,,,,
2011-03,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2011-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.7,6.3,0,0,0,0,0,0,,,,,,,
2011-05,7.3,10.2,5.7,0,7.5,0,0,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.9,0,2.7,0,7.3,23.9,70.8,47.7,6.2,,,,,,
2011-06,22.2,1.6,4.2,7.8,8.4,0,0.5,0,0,0,16.1,13.5,0,1.6,0,5.4,0.5,0,0,0,0,0,0.5,1.9,0.5,7,0,0,0,1.5,,,,,,,
2011-07,0,0,0,58.1,36.4,30.7,3,0,0,2.6,39.6,3,0,2.1,8.8,38.3,5.6,0,0,0,0,0,17.4,6.4,34.4,13,4.6,0,0,0,0,,,,,,
2011-08,0,4.9,12.4,32.9,31.1,5,4.3,4.1,27.9,0,6.5,0,1,3.5,2,8.2,1.7,7.1,25.6,2.9,46.8,22.1,13.1,32.7,0,0,0,0,0,8.8,13,,,,,,
2011-09,16.9,0.8,10.7,7.2,2.5,0,0,0,13.2,4.9,10.3,32,2,1.4,0,0,0,0,60.3,1.6,0,0,0,0,1.2,0,0,0,0,0,,,,,,,
2011-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.7,0,0,0,5,0,2.2,12,64.8,0.5,0,9.9,22.2,0,,,,,,
2011-11,4.8,0,21.2,5.9,36.4,0,0,15.7,6.8,2.5,0,0,0.5,0,0,0,0,0,0,42.2,4.2,11.6,0,7.5,24.8,24.1,13,0,0,0,,,,,,,
2011-12,16.6,0,2.3,0,0,0,1.6,0,0,1.8,16.6,0.4,0,0,0,0,0,0,0,0,0,1.8,0,1.1,0,0,0,0,0,0,0,,,,,,
2012-01,30.2,0,0,0,0,1.7,0,7.1,1.1,0,0,0,5,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,2.7,5.4,,,,,,
2012-02,1.3,0.8,0.9,0,0,0,0,3.4,2.2,24.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2012-03,0,0,0,0,0,0,0,0,0,0,0,7,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2012-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,0,0,19,2.6,0,0,3.1,0,0,0,0,3.5,6.6,0,0,,,,,,,
2012-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0.6,7.9,0,1.8,1.2,29.8,,,,,,
2012-06,0,0,13.4,6.2,3.2,15.4,7.7,0,0,0,6.4,0,21.3,15.4,0,5,0.9,0,9.9,0,0,0,8,0.4,2.5,0,8.6,21.1,10.5,6.1,,,,,,,
2012-07,44.3,1.6,3.6,3.2,0.5,0,0.7,15.6,26.6,3.3,7.1,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0.7,1,0.8,0,0,,,,,,
2012-08,0,0,0,5.6,0,0,0,0,0.6,7,0,19.7,3.1,29.8,15.9,1.1,38.2,9.7,0,5.1,0.5,40.4,20.4,23.2,6.3,0,0,0,2.4,0,2.5,,,,,,
2012-09,26,12.7,5.3,0.8,3.6,7.6,0.3,6,4.4,0,0.8,0,0,0,0,4.9,0.9,10.5,7.9,0,0.5,0,0,0,0,0,0,0,0,0,,,,,,,
2012-10,0,0,0,0,0,0,0,6.8,0,0,0,7.2,0.9,0,16.2,0,3.4,1.7,40.8,0.3,0,38.4,0,0.4,7.3,19.4,65.3,12.3,114.8,144.6,20.5,,,,,,
2012-11,0,0,0.5,0,0,0,0,2.6,0,2.7,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,,,,,,,
2012-12,0,0,0,0,0,0,18.4,1.4,4.5,0,0,0,0,0,0,0,0,7.8,76.2,1.7,0,0,0.7,0,0,0,13.2,1,0,0.7,0,,,,,,
2013-01,0,0,0,0,0,TR,34.1,2.7,0,0,0,0,0,0,0,0,0,1.8,0,3.7,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2013-02,0,0,0,0,TR,0,TR,0,0,0,0,TR ,27.3,2,1.4,TR,TR,0,0,0,TR,0.8,0,0,0,0,0,0,,,,,,,,,
2013-03,0,0,0,0,37.5,14.7,0,0,1.2,0,0,0,TR,TR,0,3.2,24.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2013-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0.6,0,,,,,,,
2013-05,4.6,28.2,0,1.1,9.8,11.1,3.3,TR,0,2.6,0,0,0.6,TR,9.6,72.7,15.5,41.2,2.6,1.9,TR,10.5,TR,29.3,0.5,31.3,4.1,1.3,0,12.4,28.8,,,,,,
2013-06,10,23.8,26.9,5.7,4.7,4.8,39.6,3.7,2.4,0,20.8,12.8,6.2,8.3,8.5,TR,1.7,TR,23.8,2.8,4.5,16.2,2.8,TR,4.3,16.3,0,TR,26,0,,,,,,,
2013-07,0,0,0,9.6,TR,4.5,14,3.1,37.6,5.4,6.1,2.8,0,0,0,0,4,0,TR,2.5,51.7,18.5,27.4,19.2,3.4,0.5,35.9,0.3,0,0,4,,,,,,
2013-08,5.3,0,47.5,102,36.9,5.5,0.3,0.6,0.3,0,0,TR,TR,TR,3.3,3.5,0,0,0,0,TR,0,9.3,4.8,1.9,11.2,59.9,9.9,0.4,9.1,9.4,,,,,,
2013-09,1.8,47.1,1.6,1,0,0,7.7,14.2,25.4,1.6,1.2,TR,1.6,TR,13.7,41.6,7.7,8.4,0.7,0,TR,TR,0,TR,TR,0.6,0,0,0,TR,,,,,,,
2013-10,0.3,0,0,0,0,0,0,TR,0,0,TR,0,1.1,0,0,2.6,0.6,0,110.2,0,TR,1.3,1.6,0,2.2,0,1.2,TR,TR,0,0,,,,,,
2013-11,0,0,37,48.2,15.7,2.1,3.4,6.2,0,0.4,33.7,0.9,1.3,0.8,0,0,0,TR,0,0.7,0,0,0,2.6,0.5,TR,3.6,2.8,0,0,,,,,,,
2013-12,0.9,3.1,0,0.3,1.6,4.9,0,0,0,0,0,TR,2.9,8,TR,0,0,0,0,0,65.2,23.5,0,TR,0,0,0,0,0,0,0,,,,,,
2014-01,NIL,NIL,NIL,NIL,1.3,NIL,NIL,NIL,0.2,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,TR,TR,NIL,NIL,NIL,TR,NIL,1.8,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,
2014-02,TR,NIL,TR,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,TR,39.8,17.8,NIL,NIL,TR,NIL,NIL,NIL,NIL,,,,,,,,,
2014-03,NIL,NIL,1.1,0.8,NIL,1.1,TR,41.5,3.4,NIL,NIL,NIL,NIL,NIL,NIL,NIL,10,NIL,9.8,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,
